"CC1"	"CC3"	"CW1"	"CW2"	"CW3"	"WC1"	"WC2_1"	"WC2_2"	"WC3"	"WW1"	"WW2"	"WW3"
"LOC115919120"	0	0	0	0	0	0	0	0	0	0	0	0
"LOC115923689"	0	0	0	0	0	0	0	0	0	0	0	0
"LOC115921875"	0	0	0	0	0	0	0	0	0	0	0	0
"LOC115922805"	0	0	0	0	0	0	0	0	0	0	0	0
"LOC115919121"	0	0	0	0	0	0	0	0	0	0	0	0
"LOC115917781"	0	0	0	0	0	0	0	0	0	0	0	0
"LOC115921627"	0	0	0	0	0	0	0	0	0	0	0	0
"LOC115922266"	0	0	0	0	0	0	0	0	0	0	0	0
"LOC115917786"	0	0	0	0	0	0	0	0	0	0	0	0
"LOC115921242"	0	0	0	0	0	0	0	0	0	0	0	0
"LOC115922573"	0	0	0	0	0	0	0	0	0	0	0	0
"LOC115917789"	0	0	0	0	0	0	0	0	0	0	0	0
"LOC115917788"	0	0	0	0	0	0	0	0	0	0	0	0
"LOC115924307"	0	0	0	0	0	0	0	0	0	0	0	0
"LOC115924613"	0	0	0	0	0	0	0	0	0	0	0	0
"LOC115917787"	0	0	0	0	0	0	0	0	0	0	0	0
"LOC115926724"	0	0	0	0	0	0	0	0	0	0	0	0
"LOC115927487"	0	0	0	0	0	0	0	0	0	0	0	0
"LOC115927141"	0	0	0	0	0	0	0	0	0	0	0	0
"LOC115927922"	0	0	0	0	0	0	0	0	0	0	0	0
"LOC115928199"	0	0	0	0	0	0	0	0	0	0	0	0
"LOC115928573"	0	0	0	0	0	0	0	0	0	0	0	0
"LOC115928816"	0	0	0	0	0	0	0	0	0	0	0	0
"LOC115929161"	0	0	0	0	0	0	0	0	0	0	0	0
"LOC115929444"	0	0	0	0	0	0	0	0	0	0	0	0
"LOC115929597"	0	0	0	0	0	0	0	0	0	0	0	0
"LOC115929792"	0	0	0	0	0	0	0	0	0	0	0	0
"LOC115919122"	0	0	0	0	0	0	0	0	0	0	0	0
"LOC115919290"	0	0	0	0	0	0	0	0	0	0	0	0
"LOC115919497"	0	0	0	0	0	0	0	0	0	0	0	0
"LOC115919819"	0	0	0	0	0	0	0	0	0	0	0	0
"LOC115920049"	0	0	0	0	0	0	0	0	0	0	0	0
"LOC115920278"	0	0	0	0	0	0	0	0	0	0	0	0
"LOC115920550"	0	0	0	0	0	0	0	0	0	0	0	0
"TRNAA-GGC"	0	0	0	0	0	0	0	0	0	0	0	0
"LOC115920907"	0	0	0	0	0	0	0	0	0	0	0	0
"LOC115920947"	0	0	0	0	0	0	0	0	0	0	0	0
"LOC115921029"	0	0	0	0	0	0	0	0	0	0	0	0
"LOC115921061"	0	0	0	0	0	0	0	0	0	0	0	0
"LOC115921099"	0	0	0	0	0	0	0	0	0	0	0	0
"LOC115921137"	0	0	0	0	0	0	0	0	0	0	0	0
"LOC115921201"	0	0	0	0	0	0	0	0	0	0	0	0
"LOC115921232"	0	0	0	0	0	0	0	0	0	0	0	0
"TRNAA-GGC_1"	0	0	0	0	0	0	0	0	0	0	0	0
"LOC115921292"	0	0	0	0	0	0	0	0	0	0	0	0
"LOC115921331"	0	0	0	0	0	0	0	0	0	0	0	0
"LOC115921420"	0	0	0	0	0	0	0	0	0	0	0	0
"LOC115921374"	0	0	0	0	0	0	0	0	0	0	0	0
"LOC115921515"	0	0	0	0	0	0	0	0	0	0	0	0
"LOC115921546"	0	0	0	0	0	0	0	0	0	0	0	0
"LOC115921565"	0	0	0	0	0	0	0	0	0	0	0	0
"LOC105443448"	0	0	0	0	0	0	1	0	0	0	0	0
"TRNAP-GGG"	0	0	0	0	0	0	0	0	0	0	0	0
"LOC115921639"	0	0	0	0	0	0	0	0	0	0	0	0
"LOC115921683"	0	3	6	0	0	0	10	0	0	2	3	3
"LOC115921691"	0	0	0	8	0	0	0	0	0	0	1	1
"LOC115921737"	10	5	8	3	10	27	12	9	19	0	18	0
"LOC115921718"	2	0	3	0	2	24	1	0	0	7	1	0
"LOC115921702"	0	0	14	10	28	2	10	17	12	22	12	2
"LOC105438765"	36	24	103	35	56	9	34	52	27	40	30	33
"LOC115921815"	0	0	0	0	0	0	0	0	0	0	0	0
"LOC115921857"	0	0	0	0	0	0	0	0	0	0	0	0
"LOC115921962"	0	0	0	0	0	0	0	0	0	0	0	0
"LOC115922104"	0	0	0	0	0	0	0	0	0	0	0	0
"LOC115922130"	0	0	0	0	0	0	0	0	0	0	0	0
"LOC115922143"	0	0	0	0	0	0	0	0	0	0	0	0
"LOC115922153"	0	0	0	0	0	0	0	0	0	0	0	0
"LOC115922180"	0	0	0	0	0	0	0	0	0	0	0	0
"LOC115922202"	0	0	0	0	0	0	0	0	0	0	0	0
"LOC115922226"	0	0	0	0	0	0	0	0	0	0	0	0
"LOC115922261"	0	0	0	0	0	0	0	0	0	0	0	0
"LOC115922284"	0	0	0	0	0	0	0	0	0	0	0	0
"LOC115922320"	0	0	0	0	0	0	0	0	0	0	0	0
"LOC115922344"	0	0	0	0	0	0	0	0	0	0	0	0
"LOC115922376"	0	0	0	0	0	0	0	0	0	0	0	0
"LOC115922538"	0	0	0	0	0	0	0	0	0	0	0	0
"LOC115922458"	0	0	0	0	0	0	0	0	0	0	0	0
"LOC115922500"	0	0	0	0	0	0	0	0	0	0	0	0
"LOC115922565"	0	0	0	0	0	0	0	0	0	0	0	0
"LOC115922611"	0	0	0	0	0	0	0	0	0	0	0	0
"LOC105436745"	0	0	0	0	0	0	0	0	0	0	0	0
"LOC100892607"	6	0	4	0	0	0	0	1	0	0	2	1
"LOC115922678"	0	0	0	0	0	0	0	0	0	0	0	0
"LOC115922710"	0	0	0	0	0	0	0	0	0	0	0	0
"LOC115922727"	0	0	0	0	0	0	0	0	0	0	0	0
"LOC115922750"	0	0	0	0	0	0	0	0	0	0	0	0
"LOC115922798"	0	0	0	0	0	0	0	0	0	0	0	0
"LOC115922875"	0	0	0	0	0	0	0	0	0	0	0	0
"LOC115922927"	0	0	0	0	0	0	0	0	0	0	0	0
"LOC115922953"	0	0	0	0	0	0	0	0	0	0	0	0
"LOC115922975"	0	0	0	0	0	0	0	0	0	0	0	0
"LOC115922998"	0	0	0	0	0	0	0	0	0	0	0	0
"LOC115923021"	0	0	0	0	0	0	0	0	0	0	0	0
"LOC115923039"	0	0	0	0	0	0	0	0	0	0	0	0
"LOC115923118"	0	0	0	0	0	0	0	0	0	0	0	0
"LOC115923148"	0	2	4	0	0	0	1	1	0	2	0	1
"LOC115923179"	1	2	0	0	0	0	0	0	0	0	0	5
"LOC105438449"	0	0	3	0	2	39	31	83	44	39	43	36
"LOC115923217"	0	0	0	0	1	7	7	0	4	8	6	1
"LOC105438448"	0	0	0	0	0	0	0	0	0	0	0	0
"LOC115923302"	0	0	0	0	0	0	0	0	0	0	0	0
"LOC115923412"	0	0	0	0	0	0	0	0	0	0	0	0
"LOC105438450"	0	0	0	0	0	0	0	0	0	0	0	0
"LOC115923428"	0	0	0	0	0	0	0	0	0	0	0	0
"LOC115923444"	14	13	12	7	11	11	6	7	7	11	4	7
"LOC115923487"	0	0	0	0	0	0	0	0	0	0	0	0
"LOC105440669"	0	0	0	0	0	0	0	0	0	0	0	0
"LOC115923550"	0	0	0	0	0	0	0	0	0	0	0	0
